Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1994,6/28/1994,Group B,Brazil,1,1,Sweden, ,BRA,SWE
1994,6/28/1994,Group E,Italy,1,1,Mexico, ,ITA,MEX
1994,6/28/1994,Group B,Russia,6,1,Cameroon, ,RUS,CMR
1994,6/29/1994,Group F,Morocco,1,2,Netherlands, ,MAR,NED
1994,6/29/1994,Group F,Belgium,0,1,Saudi Arabia, ,BEL,KSA
1994,6/30/1994,Group D,Greece,0,2,Nigeria, ,GRE,NGA
1994,6/30/1994,Group D,Argentina,0,2,Bulgaria, ,ARG,BUL
1994,7/2/1994,Round of 16,Germany,3,2,Belgium, ,GER,BEL
1994,7/2/1994,Round of 16,Spain,3,0,Switzerland, ,ESP,SUI
1994,7/3/1994,Round of 16,Saudi Arabia,1,3,Sweden, ,KSA,SWE
1994,7/3/1994,Round of 16,Romania,3,2,Argentina, ,ROU,ARG
1994,7/4/1994,Round of 16,Netherlands,2,0,Republic of Ireland, ,NED,IRL
1994,7/4/1994,Round of 16,Brazil,1,0,USA, ,BRA,USA
1994,7/5/1994,Round of 16,Nigeria,1,2,Italy,Italy win after extra time ,NGA,ITA
1994,7/5/1994,Round of 16,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,MEX,BUL
1994,7/9/1994,Quarter-finals,Italy,2,1,Spain, ,ITA,ESP
1994,7/9/1994,Quarter-finals,Netherlands,2,3,Brazil, ,NED,BRA
1994,7/10/1994,Quarter-finals,Bulgaria,2,1,Germany, ,BUL,GER
1994,7/10/1994,Quarter-finals,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,ROU,SWE
1994,7/13/1994,Semi-finals,Bulgaria,1,2,Italy, ,BUL,ITA
1994,7/13/1994,Semi-finals,Sweden,0,1,Brazil, ,SWE,BRA
1994,7/16/1994,Third place,Sweden,4,0,Bulgaria, ,SWE,BUL
1994,7/17/1994,Final,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,BRA,ITA
1998,6/10/1998,Group A,Brazil,2,1,Scotland, ,BRA,SCO
1998,6/10/1998,Group A,Morocco,2,2,Norway, ,MAR,NOR
1998,6/11/1998,Group B,Italy,2,2,Chile, ,ITA,CHI
1998,6/11/1998,Group B,Cameroon,1,1,Austria, ,CMR,AUT
1998,6/12/1998,Group D,Paraguay,0,0,Bulgaria, ,PAR,BUL
1998,6/12/1998,Group C,Saudi Arabia,0,1,Denmark, ,KSA,DEN
1998,6/12/1998,Group C,France,3,0,South Africa, ,FRA,RSA
1998,6/13/1998,Group D,Spain,2,3,Nigeria, ,ESP,NGA
1998,6/13/1998,Group E,Korea Republic,1,3,Mexico, ,KOR,MEX
1998,6/13/1998,Group E,Netherlands,0,0,Belgium, ,NED,BEL
1998,6/14/1998,Group H,Argentina,1,0,Japan, ,ARG,JPN
1998,6/14/1998,Group F,Yugoslavia,1,0,Iran, ,YUG,IRN
1998,6/14/1998,Group H,Jamaica,1,3,Croatia, ,JAM,CRO
1998,6/15/1998,Group G,England,2,0,Tunisia, ,ENG,TUN
1998,6/15/1998,Group G,Romania,1,0,Colombia, ,ROU,COL
1998,6/15/1998,Group F,Germany,2,0,USA, ,GER,USA
1998,6/16/1998,Group A,Scotland,1,1,Norway, ,SCO,NOR
1998,6/16/1998,Group A,Brazil,3,0,Morocco, ,BRA,MAR
1998,6/17/1998,Group B,Chile,1,1,Austria, ,CHI,AUT
1998,6/17/1998,Group B,Italy,3,0,Cameroon, ,ITA,CMR
1998,6/18/1998,Group C,South Africa,1,1,Denmark, ,RSA,DEN
1998,6/18/1998,Group C,France,4,0,Saudi Arabia, ,FRA,KSA
1998,6/19/1998,Group D,Nigeria,1,0,Bulgaria, ,NGA,BUL
1998,6/19/1998,Group D,Spain,0,0,Paraguay, ,ESP,PAR
1998,6/20/1998,Group H,Japan,0,1,Croatia, ,JPN,CRO
1998,6/20/1998,Group E,Belgium,2,2,Mexico, ,BEL,MEX
1998,6/20/1998,Group E,Netherlands,5,0,Korea Republic, ,NED,KOR
1998,6/21/1998,Group F,Germany,2,2,Yugoslavia, ,GER,YUG
1998,6/21/1998,Group H,Argentina,5,0,Jamaica, ,ARG,JAM
1998,6/21/1998,Group F,USA,1,2,Iran, ,USA,IRN
1998,6/22/1998,Group G,Colombia,1,0,Tunisia, ,COL,TUN
1998,6/22/1998,Group G,Romania,2,1,England, ,ROU,ENG
1998,6/23/1998,Group B,Italy,2,1,Austria, ,ITA,AUT
1998,6/23/1998,Group B,Chile,1,1,Cameroon, ,CHI,CMR
1998,6/23/1998,Group A,Scotland,0,3,Morocco, ,SCO,MAR
1998,6/23/1998,Group A,Brazil,1,2,Norway, ,BRA,NOR
1998,6/24/1998,Group C,France,2,1,Denmark, ,FRA,DEN
1998,6/24/1998,Group C,South Africa,2,2,Saudi Arabia, ,RSA,KSA
1998,6/24/1998,Group D,Spain,6,1,Bulgaria, ,ESP,BUL
1998,6/24/1998,Group D,Nigeria,1,3,Paraguay, ,NGA,PAR
1998,6/25/1998,Group E,Belgium,1,1,Korea Republic, ,BEL,KOR
1998,6/25/1998,Group E,Netherlands,2,2,Mexico, ,NED,MEX
1998,6/25/1998,Group F,Germany,2,0,Iran, ,GER,IRN
1998,6/25/1998,Group F,USA,0,1,Yugoslavia, ,USA,YUG
1998,6/26/1998,Group H,Japan,1,2,Jamaica, ,JPN,JAM
1998,6/26/1998,Group H,Argentina,1,0,Croatia, ,ARG,CRO
1998,6/26/1998,Group G,Romania,1,1,Tunisia, ,ROU,TUN
1998,6/26/1998,Group G,Colombia,0,2,England, ,COL,ENG
1998,6/27/1998,Round of 16,Italy,1,0,Norway, ,ITA,NOR
1998,6/27/1998,Round of 16,Brazil,4,1,Chile, ,BRA,CHI
1998,6/28/1998,Round of 16,France,1,0,Paraguay,France win after extra time ,FRA,PAR
1998,6/28/1998,Round of 16,Nigeria,1,4,Denmark, ,NGA,DEN
1998,6/29/1998,Round of 16,Germany,2,1,Mexico, ,GER,MEX
1998,6/29/1998,Round of 16,Netherlands,2,1,Yugoslavia, ,NED,YUG
1998,6/30/1998,Round of 16,Romania,0,1,Croatia, ,ROU,CRO
1998,6/30/1998,Round of 16,Argentina,2,2,England,Argentina win on penalties (4 - 3) ,ARG,ENG
1998,7/3/1998,Quarter-finals,Italy,0,0,France,France win on penalties (3 - 4) ,ITA,FRA
1998,7/3/1998,Quarter-finals,Brazil,3,2,Denmark, ,BRA,DEN
1998,7/4/1998,Quarter-finals,Netherlands,2,1,Argentina, ,NED,ARG
1998,7/4/1998,Quarter-finals,Germany,0,3,Croatia, ,GER,CRO
1998,7/7/1998,Semi-finals,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2) ,BRA,NED
1998,7/8/1998,Semi-finals,France,2,1,Croatia, ,FRA,CRO
1998,7/11/1998,Third place,Netherlands,1,2,Croatia, ,NED,CRO
1998,7/12/1998,Final,Brazil,0,3,France, ,BRA,FRA
2002,5/31/2002,Group A,France,0,1,Senegal, ,FRA,SEN
2002,6/1/2002,Group A,Uruguay,1,2,Denmark, ,URU,DEN
2002,6/1/2002,Group E,Republic of Ireland,1,1,Cameroon, ,IRL,CMR
2002,6/1/2002,Group E,Germany,8,0,Saudi Arabia, ,GER,KSA
2002,6/2/2002,Group F,Argentina,1,0,Nigeria, ,ARG,NGA
2002,6/2/2002,Group B,Paraguay,2,2,South Africa, ,PAR,RSA
2002,6/2/2002,Group F,England,1,1,Sweden, ,ENG,SWE
2002,6/2/2002,Group B,Spain,3,1,Slovenia, ,ESP,SVN
2002,6/3/2002,Group C,Brazil,2,1,Turkey, ,BRA,TUR
2002,6/3/2002,Group G,Italy,2,0,Ecuador, ,ITA,ECU
2002,6/3/2002,Group G,Croatia,0,1,Mexico, ,CRO,MEX
2002,6/4/2002,Group C,China PR,0,2,Costa Rica, ,CHN,CRC
2002,6/4/2002,Group H,Japan,2,2,Belgium, ,JPN,BEL
2002,6/4/2002,Group D,Korea Republic,2,0,Poland, ,KOR,POL
